,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
122,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.0348785,0.0224266,-0.0313012,0.590997,0.522709,0.590054,0.530269,0.585983
123,1,1,1,0,0,0,0,1,0,0,0,0,0,-0.0400657,0.0157852,-0.0446271,0.5815,0.51341,0.590054,0.534925,0.589567
124,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0483259,0.0185793,-0.046847,0.533094,0.523206,0.504112,0.536353,0.579963
125,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.0550414,0.00984241,-0.058779,0.523597,0.510083,0.504112,0.523398,0.58522
126,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.0306344,0.0258735,-0.029546,0.610187,0.533274,0.614782,0.556475,0.584293
127,1,1,0,1,0,0,0,1,0,0,0,0,0,-0.0359616,0.018353,-0.0432269,0.60069,0.520533,0.614782,0.547025,0.591031
128,0,0,1,1,0,0,0,1,0,0,0,0,0,-0.0488999,0.0174987,-0.0437104,0.533094,0.516323,0.504112,0.529758,0.574163
129,1,0,1,1,0,0,0,1,0,0,0,0,0,-0.0552791,0.00987604,-0.0558553,0.523597,0.511237,0.504112,0.520353,0.582778
130,0,1,1,1,0,0,0,1,0,0,0,0,0,-0.0323681,0.0230812,-0.0283244,0.590997,0.518187,0.590054,0.547088,0.577583
131,1,1,1,1,0,0,0,1,0,0,0,0,0,-0.0375554,0.0164808,-0.0416504,0.5815,0.515335,0.590054,0.549013,0.585288
132,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0511807,0.0166376,-0.0537254,0.533094,0.512335,0.49437,0.506956,0.575296
133,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.0578962,0.00788428,-0.0656571,0.523597,0.505144,0.49437,0.503571,0.569051
134,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.0339598,0.0236513,-0.0367252,0.610187,0.527411,0.614782,0.53187,0.584934
135,1,1,0,0,1,0,0,1,0,0,0,0,0,-0.0392869,0.0161134,-0.0504059,0.60069,0.517189,0.614782,0.534203,0.576349
136,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.0512291,0.0160071,-0.0491677,0.533094,0.512847,0.49437,0.511652,0.583284
137,1,0,1,0,1,0,0,1,0,0,0,0,0,-0.0576083,0.0083508,-0.0613124,0.523597,0.508944,0.49437,0.513269,0.583925
138,0,1,1,0,1,0,0,1,0,0,0,0,0,-0.0347962,0.0216852,-0.0351604,0.590997,0.517472,0.590054,0.531502,0.587133
139,1,1,1,0,1,0,0,1,0,0,0,0,0,-0.0399834,0.015055,-0.0484862,0.5815,0.514328,0.590054,0.535088,0.592553
140,0,0,0,1,1,0,0,1,0,0,0,0,0,-0.0490297,0.017312,-0.0499316,0.533094,0.517397,0.49437,0.50054,0.570054
141,1,0,0,1,1,0,0,1,0,0,0,0,0,-0.0557453,0.00858716,-0.0618635,0.523597,0.513092,0.49437,0.496677,0.570062
142,0,1,0,1,1,0,0,1,0,0,0,0,0,-0.0313384,0.0245958,-0.0326308,0.610187,0.522591,0.614782,0.525555,0.580206
143,1,1,0,1,1,0,0,1,0,0,0,0,0,-0.0366655,0.0170859,-0.0463115,0.60069,0.517357,0.614782,0.52831,0.580386
144,0,0,1,1,1,0,0,1,0,0,0,0,0,-0.0492852,0.0168623,-0.0467718,0.533094,0.515215,0.49437,0.497665,0.57499
145,1,0,1,1,1,0,0,1,0,0,0,0,0,-0.0556644,0.00925407,-0.0589167,0.523597,0.513505,0.49437,0.498662,0.578227
